회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),부채비율,당좌비율,유동비율,이자보상배율(이자비용),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),이자비용(IFRS)(천원),차입금의존도,자기자본구성비율,당기순이익(손실)(IFRS)(천원),감가상각비(백만원),금융비용(백만원),단기차입금(*)(IFRS)(천원),유동성장기부채(*)(IFRS)(천원),장기차입금(*)(IFRS)(천원),법인세비용차감전(계속사업)손익(백만원),매출액영업이익률,자기자본순이익률,총자본순이익률,매출액(수익)(*)(IFRS)(천원),총자본회전률,자기자본회전률,운전자본회전률,순운전자본회전률,재고자산회전률,당좌자산회전률,유동자산회전률,매출액증가율,총자본증가율,자기자본증가율,순이익증가율,유형자산증가율,유동자산증가율,재고자산증가율,영업이익증가율,총자본투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),자산(*)(IFRS)(천원),부채(*)(IFRS)(천원),자본(*)(IFRS)(천원),연구개발비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원)
(유)휴먼하이테크,097315,2020/06,68,206.38,166.16,166.16,0.88,,,62.73,32.64,,92.93,1025.94,,,,-5.71,65.86,-0.24,-0.08,,0.05,0.15,0.13,0.27,0,0.43,0.43,0,0,0,0,0,0,0,0,2.18,88.51,8.26,91.74,-1.78,,,,,,,
(유)휴먼하이테크,097315,2021/06,68,229.98,55.48,56.46,0.99,,,64.88,30.3,,103.2,1187.64,,,,236.12,42.62,0.46,0.14,,0.05,0.16,0.02,0.18,40.62,0.4,0.4,112.98,8.2,0.46,0,0.11,30.44,0,37.81,2.88,59.35,9.27,90.73,4.78,,,,,,,
(유)휴먼하이테크,097315,2022/06,68,108.57,117.18,117.18,8.03,,,45.42,47.95,,87.66,731.78,,,,9565.7,30.05,30.26,11.64,,0.58,1.52,0,1.25,453.9,2.72,2.7,1017.48,-14.26,35.66,7743.53,-34,91.61,0,687.99,18.74,29.62,2.5,97.5,67.26,,,,,,,
(주)화성건설이엔지,087498,2017/12,42,280.99,119.77,119.77,110.25,,,9.09,26.25,,65.86,1.01,,,,2325.63,4.93,93.29,24.49,,6.69,25.49,0,5.21,0,9.57,9.57,0,0,0,0,0,0,0,0,50.62,15.13,65.19,34.81,24.19,,,,,,,
(주)화성건설이엔지,087498,2018/12,42,112.67,165.26,165.26,101,,,5.91,47.02,,116.02,-58.12,,,,5839.29,11.96,81.95,30.74,,2.68,7.15,0,2.06,0,3.5,3.5,-12.5,18.26,111.84,173.95,-81.31,39.45,0,112.14,50.36,20.34,29.51,70.49,56.32,,,,,,,
(주)화성건설이엔지,087498,2019/12,42,128.75,126.89,126.89,98.57,,,9.1,43.71,,117.76,-181.38,,,,3532.16,6.49,32.49,14.67,,2.58,5.71,0,2.04,0,3.48,3.48,19.69,29.96,20.83,-40.53,691.82,6.75,0,-35.08,28.22,12.38,42.61,57.39,45.99,,,,,,,
(주)화성건설이엔지,087498,2020/12,42,139.52,152.46,157.33,65.15,,,11.44,41.75,,196.66,-63.73,,,,5017.26,7.36,42.24,18.01,,2.71,6.36,0.01,2.31,230.84,4.01,3.94,30.4,19.32,13.96,52.19,9.93,22.62,0,47.94,35.29,14.16,43.12,56.88,46.9,,,,,,,
(주)화성건설이엔지,087498,2021/12,42,116.47,153.85,159.73,88.03,,,12.81,46.2,,166.38,6.32,,,,3876.66,9.29,26.4,11.58,,1.98,4.51,0,1.81,87.8,3.05,2.95,-24.89,-10.66,-1.15,-33.79,16.86,-17.85,-2.52,-5.21,34.85,16.63,48.74,51.26,35.2,,,,,,,
(주)화성건설이엔지,087498,2022/12,42,92.24,164.4,170.65,32.04,,,12.78,52.02,,135.21,25.71,,,,1906.76,6.05,12.07,5.93,,2.12,4.32,0,2.06,90.22,3.44,3.31,1.44,0.21,12.84,-51.65,10.51,0.48,0,-33.92,21.34,10.06,56.48,43.52,27.73,,,,,,,
(주)화성관리공사,059330,2012/12,74,58.64,132.43,132.43,1.01,,,13.81,63.04,,36.4,-93.17,,,,-200.7,0.25,-3.75,-2.44,,2.17,3.34,0,2.34,0,3.59,3.59,3.3,0.95,-5.3,0,2.43,-43.62,0,-89.51,11.62,5.37,117.67,-17.67,-20.9,,,,,,,
(주)화성관리공사,059330,2013/12,74,59.51,131.9,131.9,6.38,,,13.33,62.69,,43.09,-14.63,,,,140.37,0.9,3.03,1.9,,2.35,3.74,0.1,2.93,0,5.14,5.14,10.6,3.65,3.08,0,9.67,14.21,0,302,18.16,7.87,80.72,19.28,10.3,,,,,,,
