회사명,거래소코드,회계년도,산업코드,산업명,설립일,상장일,기업규모코드,감사의견코드
(유)테일러메이드코리아,095584,2019/12,074604,  도매 및 상품 중개업,1999/11/23,0,20,NA
(유)테일러메이드코리아,095584,2020/12,074604,  도매 및 상품 중개업,1999/11/23,0,30,UQ
(유)테일러메이드코리아,095584,2021/12,074604,  도매 및 상품 중개업,1999/11/23,0,30,UQ
(유)테일러메이드코리아,095584,2022/12,074604,  도매 및 상품 중개업,1999/11/23,0,30,UQ
(유)한국그랜드유니버셜트레이딩,093599,2019/12,031701,"  펄프, 종이 및 종이제품 제조업",2013/01/04,0,20,NA
(유)한국그랜드유니버셜트레이딩,093599,2020/12,031701,"  펄프, 종이 및 종이제품 제조업",2013/01/04,0,30,QS
(유)한국그랜드유니버셜트레이딩,093599,2021/12,031701,"  펄프, 종이 및 종이제품 제조업",2013/01/04,0,30,QS
(유)한국그랜드유니버셜트레이딩,093599,2022/12,031701,"  펄프, 종이 및 종이제품 제조업",2013/01/04,0,30,UQ
(유)한국비엠에스제약,018712,2019/12,074604,  도매 및 상품 중개업,1974/08/01,0000/00/00,30,NA
(유)한국비엠에스제약,018712,2020/12,074604,  도매 및 상품 중개업,1974/08/01,0000/00/00,30,UQ
(유)한국비엠에스제약,018712,2021/12,074604,  도매 및 상품 중개업,1974/08/01,0000/00/00,30,UQ
(유)한국비엠에스제약,018712,2022/12,074604,  도매 및 상품 중개업,1974/08/01,0000/00/00,30,UQ
(주)케이티앤지생명과학,057328,2013/12,137001,  연구개발업,2002/04/10,0,10,UQ
(주)케이티앤지생명과학,057328,2014/12,137001,  연구개발업,2002/04/10,0,10,UQ
(주)케이티앤지생명과학,057328,2015/12,137001,  연구개발업,2002/04/10,0,10,UQ
(주)케이티앤지생명과학,057328,2016/12,137001,  연구개발업,2002/04/10,0,30,UQ
(주)케이티테크,029401,2012/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2001/10/12,0000/00/00,30,DU
(주)케이피씨엠,062150,2012/12,032901,  기타 기계 및 장비 제조업,2010/12/31,0,20,UQ
(주)케이피씨엠,062150,2013/12,032901,  기타 기계 및 장비 제조업,2010/12/31,0,20,UQ
(주)케이피씨엠,062150,2014/12,032901,  기타 기계 및 장비 제조업,2010/12/31,0,20,UQ
(주)케이피씨엠,062150,2015/12,032901,  기타 기계 및 장비 제조업,2010/12/31,0,20,UQ
(주)케이피씨엠,062150,2016/12,032901,  기타 기계 및 장비 제조업,2010/12/31,0,20,UQ
(주)케이피씨엠,062150,2017/12,032901,  기타 기계 및 장비 제조업,2010/12/31,0,20,UQ
(주)케이피씨엠,062150,2018/12,032901,  기타 기계 및 장비 제조업,2010/12/31,0,30,UQ
(주)케이피씨엠,062150,2019/12,032901,  기타 기계 및 장비 제조업,2010/12/31,0,30,UQ
(주)케이피씨엠,062150,2020/12,032901,  기타 기계 및 장비 제조업,2010/12/31,0,30,UQ
(주)케이피씨엠,062150,2021/12,032901,  기타 기계 및 장비 제조업,2010/12/31,0,30,UQ
(주)케이피씨엠,062150,2022/12,032901,  기타 기계 및 장비 제조업,2010/12/31,0,30,UQ
(주)케이피아이씨코포레이션,048168,2012/12,074608,  도매 및 상품 중개업,2005/03/28,0,30,UQ
(주)케이피아이씨코포레이션,048168,2013/12,074608,  도매 및 상품 중개업,2005/03/28,0,30,UQ
