회사명,거래소코드,회계년도,산업코드,산업명,설립일,상장일,기업규모코드,감사의견코드
(유)그룹세브코리아,13171,2019/12,74604,  도매 및 상품 중개업,1997/08/01,0000/00/00,30.0,
(유)그룹세브코리아,13171,2020/12,74604,  도매 및 상품 중개업,1997/08/01,0000/00/00,30.0,UQ
(유)그룹세브코리아,13171,2021/12,74604,  도매 및 상품 중개업,1997/08/01,0000/00/00,30.0,UQ
(유)그룹세브코리아,13171,2022/12,74604,  도매 및 상품 중개업,1997/08/01,0000/00/00,30.0,UQ
(유)디에스브이에어앤씨인터내셔널,104275,2021/12,85209,  창고 및 운송관련 서비스업,2019/03/19,0,30.0,
(유)디에스브이에어앤씨인터내셔널,104275,2022/12,85209,  창고 및 운송관련 서비스업,2019/03/19,0,30.0,UQ
(유)브이피에이치아이,96625,2020/12,74502,  자동차 및 부품 판매업,2008/05/01,0,30.0,UQ
(유)브이피에이치아이,96625,2021/12,74502,  자동차 및 부품 판매업,2008/05/01,0,30.0,UQ
(유)브이피에이치아이,96625,2022/12,74502,  자동차 및 부품 판매업,2008/05/01,0,30.0,UQ
(유)스태츠칩팩코리아,26825,2019/12,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1991/07/10,0000/00/00,30.0,
(유)스태츠칩팩코리아,26825,2020/12,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1991/07/10,0000/00/00,30.0,UQ
(유)스태츠칩팩코리아,26825,2021/12,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1991/07/10,0000/00/00,30.0,UQ
(유)스태츠칩팩코리아,26825,2022/12,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1991/07/10,0000/00/00,30.0,UQ
(유)아웃백스테이크하우스코리아,41907,2019/12,95601,  음식점 및 주점업,1996/08/28,0000/00/00,30.0,
(유)아웃백스테이크하우스코리아,41907,2020/12,95601,  음식점 및 주점업,1996/08/28,0000/00/00,30.0,UQ
(유)아웃백스테이크하우스코리아,41907,2021/12,95601,  음식점 및 주점업,1996/08/28,0000/00/00,30.0,UQ
(유)아웃백스테이크하우스코리아,41907,2022/12,95601,  음식점 및 주점업,1996/08/28,0000/00/00,30.0,UQ
(유)케이원에너지,47069,2012/12,74607,  도매 및 상품 중개업,2001/05/03,0,20.0,UQ
(유)케이원에너지,47069,2013/12,74607,  도매 및 상품 중개업,2001/05/03,0,20.0,UQ
(유)케이원에너지,47069,2014/12,74607,  도매 및 상품 중개업,2001/05/03,0,20.0,UQ
(유)케이원에너지,47069,2015/12,74607,  도매 및 상품 중개업,2001/05/03,0,30.0,UQ
(주)DH케미칼,40581,2012/12,32004,  화학물질 및 화학제품 제조업; 의약품 제외,1977/02/01,0000/00/00,20.0,UQ
(주)DH케미칼,40581,2013/12,32004,  화학물질 및 화학제품 제조업; 의약품 제외,1977/02/01,0000/00/00,20.0,UQ
(주)DH케미칼,40581,2014/12,32004,  화학물질 및 화학제품 제조업; 의약품 제외,1977/02/01,0000/00/00,20.0,UQ
(주)DH케미칼,40581,2015/12,32004,  화학물질 및 화학제품 제조업; 의약품 제외,1977/02/01,0000/00/00,30.0,UQ
(주)DH케미칼,40581,2016/12,32004,  화학물질 및 화학제품 제조업; 의약품 제외,1977/02/01,0000/00/00,20.0,UQ
(주)DH케미칼,40581,2017/12,32004,  화학물질 및 화학제품 제조업; 의약품 제외,1977/02/01,0000/00/00,30.0,UQ
(주)DH케미칼,40581,2018/12,32004,  화학물질 및 화학제품 제조업; 의약품 제외,1977/02/01,0000/00/00,30.0,UQ
(주)DH케미칼,40581,2019/12,32004,  화학물질 및 화학제품 제조업; 의약품 제외,1977/02/01,0000/00/00,30.0,UQ
(주)DH케미칼,40581,2020/12,32004,  화학물질 및 화학제품 제조업; 의약품 제외,1977/02/01,0000/00/00,30.0,UQ
(주)DH케미칼,40581,2021/12,32004,  화학물질 및 화학제품 제조업; 의약품 제외,1977/02/01,0000/00/00,30.0,UQ
(주)DH케미칼,40581,2022/12,32004,  화학물질 및 화학제품 제조업; 의약품 제외,1977/02/01,0000/00/00,30.0,UQ
(주)E&T,58267,2012/12,74703,  소매업; 자동차 제외,2010/06/18,0,20.0,UQ
(주)E&T,58267,2013/12,74703,  소매업; 자동차 제외,2010/06/18,0,30.0,UQ
(주)E&T,58267,2014/12,74703,  소매업; 자동차 제외,2010/06/18,0,20.0,UQ
(주)E&T,58267,2015/12,74703,  소매업; 자동차 제외,2010/06/18,0,30.0,UQ
(주)E&T,58267,2016/12,74703,  소매업; 자동차 제외,2010/06/18,0,30.0,UQ
(주)E&T,58267,2017/12,74703,  소매업; 자동차 제외,2010/06/18,0,30.0,UQ
(주)E&T,58267,2018/12,74703,  소매업; 자동차 제외,2010/06/18,0,30.0,UQ
(주)E&T,58267,2019/12,74703,  소매업; 자동차 제외,2010/06/18,0,30.0,UQ
(주)E&T,58267,2020/12,74703,  소매업; 자동차 제외,2010/06/18,0,30.0,UQ
(주)E&T,58267,2021/12,74703,  소매업; 자동차 제외,2010/06/18,0,30.0,UQ
(주)E&T,58267,2022/12,74703,  소매업; 자동차 제외,2010/06/18,0,30.0,UQ
