iter	Passed	Remaining
0	4	1484
1	8	1332
2	13	1287
3	16	1236
4	20	1210
5	24	1179
6	28	1193
7	32	1196
8	37	1198
9	41	1202
10	45	1202
11	50	1214
12	55	1222
13	59	1215
14	63	1206
15	67	1206
16	72	1207
17	76	1201
18	80	1195
19	84	1188
20	88	1173
21	91	1161
22	95	1149
23	100	1151
24	104	1152
25	109	1149
26	113	1148
27	119	1159
28	123	1157
29	128	1156
30	133	1157
31	137	1154
32	142	1153
33	147	1152
34	151	1148
35	155	1143
36	160	1143
37	165	1141
38	170	1138
39	174	1136
40	180	1141
41	185	1139
42	191	1142
43	199	1160
44	204	1161
45	209	1159
46	214	1156
47	219	1152
48	224	1150
49	230	1152
50	235	1151
51	240	1147
52	245	1144
53	249	1135
54	253	1128
55	257	1123
56	261	1116
57	265	1108
58	269	1100
59	273	1094
60	277	1086
61	281	1081
62	285	1074
63	290	1071
64	294	1064
65	298	1058
66	302	1051
67	306	1047
68	311	1041
69	314	1034
70	319	1029
71	324	1026
72	328	1022
73	332	1015
74	336	1010
75	341	1005
76	345	1000
77	349	993
78	353	988
79	357	982
80	361	976
81	364	969
82	369	967
83	374	962
84	378	956
85	381	949
86	386	946
87	391	943
88	396	939
89	401	936
90	405	931
91	409	925
92	412	919
93	418	916
94	423	913
95	427	907
96	431	903
97	435	898
98	439	892
99	443	886
100	448	883
101	452	877
102	456	872
103	460	867
104	464	863
105	468	857
106	472	852
107	477	848
108	481	844
109	485	839
110	489	833
111	493	828
112	498	824
113	502	820
114	507	815
115	511	810
116	515	806
117	520	802
118	524	798
119	529	794
120	533	788
121	537	783
122	541	778
123	545	774
124	549	769
125	553	764
126	557	758
127	561	754
128	565	749
129	569	744
130	573	739
131	577	735
132	581	730
133	585	725
134	589	720
135	593	716
136	597	711
137	601	706
138	605	701
139	609	696
140	613	691
141	617	686
142	620	681
143	625	677
144	629	673
145	634	668
146	638	664
147	642	659
148	646	654
149	649	649
150	653	644
151	658	640
152	661	635
153	665	630
154	669	626
155	673	621
156	677	616
157	681	612
158	685	607
159	689	603
160	694	599
161	697	594
162	702	590
163	706	585
164	710	581
165	714	576
166	718	572
167	723	568
168	727	563
169	731	559
170	735	554
171	739	550
172	743	545
173	747	541
174	751	536
175	755	532
176	759	527
177	763	522
178	767	518
179	771	514
180	776	510
181	780	505
182	784	501
183	788	497
184	792	492
185	796	487
186	800	483
187	804	479
188	808	474
189	812	470
190	816	465
191	820	461
192	823	456
193	827	452
194	832	448
195	836	443
196	840	439
197	843	434
198	848	430
199	851	425
200	855	421
201	859	417
202	863	412
203	867	408
204	871	403
205	874	399
206	878	394
207	882	390
208	886	385
209	890	381
210	894	377
211	898	372
212	901	368
213	905	363
214	910	359
215	914	355
216	917	350
217	921	346
218	925	342
219	930	338
220	934	334
221	938	329
222	943	325
223	947	321
224	952	317
225	957	313
226	961	309
227	964	304
228	968	300
229	972	296
230	976	291
231	980	287
232	984	283
233	988	278
234	992	274
235	996	270
236	1000	265
237	1004	261
238	1008	257
239	1012	253
240	1016	248
241	1019	244
242	1024	240
243	1027	235
244	1031	231
245	1035	227
246	1040	223
247	1044	219
248	1048	214
249	1052	210
250	1056	206
251	1060	201
252	1063	197
253	1067	193
254	1072	189
255	1076	185
256	1080	180
257	1084	176
258	1088	172
259	1091	167
260	1095	163
261	1099	159
262	1103	155
263	1106	150
264	1110	146
265	1113	142
266	1117	138
267	1121	133
268	1124	129
269	1128	125
270	1133	121
271	1138	117
272	1143	113
273	1147	108
274	1153	104
275	1158	100
276	1165	96
277	1170	92
278	1175	88
279	1179	84
280	1184	80
281	1189	75
282	1194	71
283	1199	67
284	1204	63
285	1208	59
286	1213	54
287	1218	50
288	1223	46
289	1227	42
290	1232	38
291	1236	33
292	1239	29
293	1244	25
294	1249	21
295	1253	16
296	1257	12
297	1261	8
298	1267	4
299	1270	0
