iter	Logloss
0	0.6375268956
1	0.5900440373
2	0.5492914711
3	0.5144092818
4	0.4850527734
5	0.4595993071
6	0.4371414198
7	0.4175835169
8	0.4005940745
9	0.3863922439
10	0.3726266119
11	0.3609195455
12	0.3505502686
13	0.3415839123
14	0.3334937693
15	0.325888783
16	0.319461112
17	0.3137177038
18	0.3086718034
19	0.3044570115
20	0.300718681
21	0.2969443864
22	0.2932027737
23	0.2897022475
24	0.286793227
25	0.2845704879
26	0.2825593884
27	0.2807007814
28	0.2789551979
29	0.2771702152
30	0.2756655133
31	0.2744384932
32	0.2734342021
33	0.2723010656
34	0.2712340567
35	0.2700731136
36	0.2690077171
37	0.2679923392
38	0.2668338608
39	0.2659448856
40	0.2651338809
41	0.264428992
42	0.2637275388
43	0.2630251639
44	0.2623384097
45	0.2617626427
46	0.2612314769
47	0.2604167974
48	0.2597367633
49	0.2592023731
50	0.2588068574
51	0.2582663966
52	0.2577467982
53	0.2573300177
54	0.2567932709
55	0.25626039
56	0.2557610534
57	0.2551831295
58	0.2546782611
59	0.2542843903
60	0.2537391008
61	0.2533290065
62	0.2527098259
63	0.2522439744
64	0.2518910819
65	0.2516099435
66	0.251087787
67	0.2507946703
68	0.2503688128
69	0.2500422343
70	0.2495996371
71	0.2491577239
72	0.2487550131
73	0.2484938664
74	0.2481356809
75	0.2476357697
76	0.2473557432
77	0.2469983502
78	0.2466618018
79	0.2463559828
80	0.2461386505
81	0.2457188974
82	0.245347805
83	0.2449909667
84	0.2446602413
85	0.2442816438
86	0.2440299788
87	0.2437518496
88	0.2434126838
89	0.2429943499
90	0.2426797952
91	0.2423669289
92	0.2420375334
93	0.2417645992
94	0.2413579818
95	0.2410670508
96	0.2406164527
97	0.2403430615
98	0.240106353
99	0.2397658298
100	0.2394831688
101	0.2391726998
102	0.2388333174
103	0.2383034598
104	0.2380715443
105	0.2377048215
106	0.2374507174
107	0.2372218574
108	0.2369385848
109	0.2366676858
110	0.2363432714
111	0.2361509537
112	0.2358900302
113	0.2356871891
114	0.2354836533
115	0.2352437703
116	0.2349911744
117	0.2346661893
118	0.234473555
119	0.2342419823
120	0.2339862098
121	0.2335810527
122	0.2333850729
123	0.2330152433
124	0.2328242383
125	0.2326456307
126	0.2324132798
127	0.2321414057
128	0.2319584146
129	0.2318146181
130	0.2315560284
131	0.2313642198
132	0.2309994408
133	0.2308187324
134	0.2306466221
135	0.2304476639
136	0.2302315209
137	0.2298311125
138	0.2296614126
139	0.229392834
