iter	Passed	Remaining
0	10	1931
1	21	2001
2	32	2035
3	43	2035
4	55	2045
5	66	2029
6	77	2025
7	88	2021
8	100	2012
9	110	1996
10	122	2000
11	135	2003
12	146	1995
13	157	1985
14	169	1977
15	180	1963
16	192	1954
17	203	1948
18	217	1956
19	229	1953
20	241	1940
21	252	1930
22	263	1916
23	275	1904
24	286	1893
25	297	1878
26	308	1865
27	320	1854
28	331	1842
29	343	1833
30	354	1819
31	366	1811
32	378	1800
33	389	1787
34	400	1775
35	412	1762
36	423	1750
37	434	1739
38	446	1727
39	457	1715
40	469	1704
41	480	1693
42	491	1681
43	503	1670
44	515	1660
45	527	1651
46	539	1641
47	551	1631
48	563	1621
49	575	1610
50	585	1597
51	597	1586
52	609	1575
53	621	1566
54	634	1558
55	647	1549
56	660	1541
57	674	1533
58	685	1522
59	697	1511
60	709	1500
61	721	1488
62	732	1476
63	744	1464
64	755	1452
65	766	1439
66	778	1428
67	789	1415
68	800	1404
69	811	1391
70	823	1380
71	834	1367
72	846	1357
73	858	1346
74	871	1335
75	883	1325
76	895	1313
77	910	1306
78	924	1298
79	936	1288
80	949	1277
81	961	1266
82	974	1256
83	985	1243
84	996	1231
85	1008	1219
86	1020	1208
87	1032	1196
88	1043	1183
89	1055	1172
90	1067	1160
91	1079	1149
92	1091	1138
93	1103	1127
94	1116	1116
95	1128	1105
96	1141	1094
97	1153	1082
98	1165	1070
99	1176	1058
100	1188	1047
101	1199	1035
102	1211	1023
103	1223	1011
104	1234	999
105	1245	987
106	1256	974
107	1268	962
108	1280	951
109	1291	939
110	1303	927
111	1314	915
112	1326	903
113	1337	891
114	1348	879
115	1360	867
116	1371	855
117	1383	844
118	1394	832
119	1406	820
120	1417	808
121	1429	796
122	1441	785
123	1453	773
124	1464	761
125	1476	750
126	1488	738
127	1499	726
128	1510	714
129	1522	702
130	1533	690
131	1545	679
132	1557	667
133	1568	655
134	1580	643
135	1592	632
136	1603	620
137	1615	608
138	1626	596
139	1638	585
140	1649	573
141	1661	561
142	1673	550
143	1684	538
144	1696	526
145	1708	514
146	1719	503
147	1731	491
148	1743	479
149	1755	468
150	1766	456
151	1778	444
152	1790	432
153	1801	421
154	1813	409
155	1825	397
156	1837	386
157	1849	374
158	1860	362
159	1872	351
160	1885	339
161	1896	327
162	1908	316
163	1920	304
164	1931	292
165	1943	280
166	1955	269
167	1967	257
168	1978	245
169	1990	234
170	2003	222
171	2015	210
172	2028	199
173	2039	187
174	2051	175
175	2062	164
176	2074	152
177	2085	140
178	2097	128
179	2109	117
180	2125	105
181	2136	93
182	2148	82
183	2160	70
184	2173	58
185	2186	47
186	2198	35
187	2210	23
188	2222	11
189	2234	0
