회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),자본금(*)(IFRS연결)(천원),자본금(*)(IFRS)(천원),자본금(*)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),영업이익(손실)(천원)
(유)휴먼하이테크,097315,2020/06,68,부동산업,,,20791000,,,1035950
(유)휴먼하이테크,097315,2021/06,68,부동산업,,,20791000,,,1427671
(유)휴먼하이테크,097315,2022/06,68,부동산업,,,20791000,,,11249871
(주)화성건설이엔지,087498,2017/12,42,건설업,,,200000,,,2360949
(주)화성건설이엔지,087498,2018/12,42,건설업,,,200000,,,5008475
(주)화성건설이엔지,087498,2019/12,42,건설업,,,200000,,,3251335
(주)화성건설이엔지,087498,2020/12,42,건설업,,,200000,,,4810050
(주)화성건설이엔지,087498,2021/12,42,건설업,,,200000,,,4559553
(주)화성건설이엔지,087498,2022/12,42,건설업,,,200000,,,3012914
(주)화성관리공사,059330,2012/12,74,"사업시설 관리, 사업 지원 및 임대 서비스업",,,500000,,,38609
(주)화성관리공사,059330,2013/12,74,"사업시설 관리, 사업 지원 및 임대 서비스업",,,500000,,,155209
(주)화성관리공사,059330,2014/12,74,"사업시설 관리, 사업 지원 및 임대 서비스업",,,500000,,,78106
(주)화성동탄피에프브이,106657,2021/12,41,건설업,,,5000000,,,-85443
(주)화성동탄피에프브이,106657,2022/12,41,건설업,,,5000000,,,-180175
(주)화성비엔텍,085838,2017/12,33,제조업,,,200000,,,374504
(주)화성비엔텍,085838,2018/12,33,제조업,,,500000,,,582018
(주)화성산업,088897,2018/12,20,제조업,,,550000,,,331748
(주)화성산업,088897,2019/12,20,제조업,,,1883335,,,293082
(주)화성산업,088897,2020/12,20,제조업,,,2550005,,,-203563
(주)화성산업,088897,2021/12,20,제조업,,,2550005,,,-1204140
(주)화성스틸,064766,2012/12,46,도매 및 소매업,,,900000,,,-801740
